10,22,고양오리온,81
10,22,전주KCC,81
10,22,안양KGC,100
10,22,서울SK,100
10,22,울산모비스,63
10,22,인천전자랜드,63
10,23,원주동부,91
10,23,부산KT,91
10,23,서울삼성,88
10,23,울산모비스,88
10,23,전주KCC,67
10,23,창원LG,67
10,25,서울삼성,114
10,25,안양KGC,114
10,26,울산모비스,71
10,26,전주KCC,71
10,26,원주동부,98
10,26,창원LG,98
10,27,고양오리온,99
10,27,부산KT,99
10,28,전주KCC,84
10,28,원주동부,84
10,28,안양KGC,87
10,28,인천전자랜드,87
10,29,부산KT,93
10,29,서울삼성,93
10,29,창원LG,85
10,29,울산모비스,85
10,29,서울SK,83
10,29,고양오리온,83
10,30,인천전자랜드,80
10,30,원주동부,80
10,30,안양KGC,78
10,30,전주KCC,78
10,30,서울SK,100
10,30,창원LG,100
11,1,인천전자랜드,73
11,1,부산KT,73
11,2,원주동부,74
11,2,울산모비스,74
11,2,서울삼성,107
11,2,고양오리온,107
11,3,부산KT,70
11,3,안양KGC,70
11,4,서울삼성,76
11,4,인천전자랜드,76
11,4,고양오리온,83
11,4,울산모비스,83
11,5,전주KCC,78
11,5,서울SK,78
11,5,원주동부,88
11,5,안양KGC,88
11,5,창원LG,71
11,5,부산KT,71
