2015,12,05,2015120408,디트로이트,1,102,34,82,7,23,27,39,18,8,38,8,4,11
2015,12,05,2015120408,밀워키,2,95,39,87,4,18,13,14,21,9,42,6,6,33
2016,02,01,2016013106,댈러스,1,91,31,78,8,29,21,23,15,13,29,9,1,19
2016,02,01,2016013106,피닉스,2,78,27,74,5,23,19,24,13,11,33,7,6,20
2015,12,23,2015122228,토론토,1,103,35,74,12,26,21,27,20,10,43,4,4,19
2015,12,23,2015122228,댈러스,2,99,40,92,11,29,8,11,23,4,30,8,7,25
2016,05,09,2016050825,오클라호마 시티,1,111,40,79,9,23,22,29,23,10,30,6,3,18
2016,05,09,2016050825,샌안토니오,2,97,40,85,2,12,15,16,12,9,25,11,2,21
2016,01,14,2016011323,새크라멘토,1,97,41,84,6,23,9,14,21,10,42,4,7,15
2016,01,14,2016011323,뉴올리언즈,2,109,42,100,16,33,9,11,27,13,32,10,3,18
